not_tf_neigh	tf_neigh	tf	type
186	1	ENSG00000080603	regulatory
5814	7	ENSG00000080603	not_regulatory
459	1	ENSG00000083093	regulatory
5545	3	ENSG00000083093	not_regulatory
685	2	ENSG00000099381	regulatory
5312	9	ENSG00000099381	not_regulatory
20	0	ENSG00000103275	regulatory
5976	12	ENSG00000103275	not_regulatory
2229	2	ENSG00000167967	regulatory
3775	2	ENSG00000167967	not_regulatory
129	0	ENSG00000169957	regulatory
5874	5	ENSG00000169957	not_regulatory
2500	2	ENSG00000187555	regulatory
3497	9	ENSG00000187555	not_regulatory
2299	3	ENSG00000006194	regulatory
3700	6	ENSG00000006194	not_regulatory
