community_id	newman	bynode	totalfrac	mean_diff_exp	mean_avg_exp	mean_avg_log2_exp	mean_avg_cpm_exp	mean_avg_log2_cpm_exp
139	NaN	1	1	0	1643.3475874388625	10.19897422086566	31.9567697485607	4.5177122619225
214	0.03846130032109903	0.4743428938370206	0.4549763033175355	0.14246720956961834	5185.259929525179	11.547283553691281	100.7375279922211	5.864737127478873
120	0.0065043184820948105	0.41466770442262096	0.39466666666666667	-0.08624935767828286	3514.1982028178745	10.789745345709765	68.34483711556209	5.108844941565714
142	0.007703972384573674	0.5417076722312123	0.556135770234987	0.20284508126133244	3386.8834834192116	11.1961764074481	65.83912541922888	5.515822111311864
63	0.021957807812343473	0.4102724037035129	0.39325842696629215	0.05582146747896383	3420.3142101921962	11.035267761783716	66.47359379225134	5.352962809485901
141	0.0032598486104211226	0.5971380129009611	0.6686868686868687	-0.21950617900300098	3062.0954505565414	11.030026623545515	59.538548881622994	5.347408086200547
145	-0.004124926340600669	0.9709420289855073	0.9894366197183099	0.5337455680436872	3938.1510378063704	11.51685964605339	76.58973943895494	5.833664718410923
669	0.09493359567142154	0.4342105263157895	0.425	-0.07625995207444103	4287.734809980287	11.615249936938902	83.40599491739981	5.931925842562856
194	0.014423076923076776	0.5494785894039625	0.5567567567567567	0.21138090342530133	4511.377461570313	11.535980252981629	87.74327303877807	5.8529060406076985
140	-0.03729028173472618	0.555305002747458	0.5	0.22710758913668064	4422.4516435317055	11.496804284529414	85.97657841539701	5.814130494245421
28	-0.05447810741866721	0.39529919765768823	0.4057971014492754	0.02622825521522016	4030.9897194787427	11.065969083945769	78.31340542291557	5.384448974680349
205	0.04401292249973942	0.4841031191031191	0.4625	0.12806542280976427	3718.6219827179643	11.348458691686474	72.3165916960699	5.665597831964729
38	-0.4285714285714284	0.3611111111111111	0.4	0.18561456844186291	4784.686685599472	11.927502411051384	93.07357245893644	6.244007668624225
534	0.0029639544889568056	0.36440932083789224	0.37341772151898733	0.16100418964975757	4284.376101130886	11.21925490975792	83.32268337416028	5.5379124630047105
34	NaN	1	1	0	2755.07692107328	11.2610075385441	53.57802753140196	5.577678076042905
83	-0.05691788526434231	0.701996891996892	0.6896551724137931	0.2829741353997705	4449.638568282472	11.554823631510182	86.5438009736489	5.871709444511335
169	0.054609068296922185	0.4858031508205985	0.47657841140529533	0.15766524480629254	3502.6782907786014	11.2051988022587	68.11609898481197	5.522674169584801
5	0.0366662156677039	0.6118722089875936	0.550561797752809	-0.0770443000409556	2575.4780173099834	10.766187628645596	50.10095258554901	5.084111645190019
184	-0.06444636678200695	0.5915228893489763	0.5700934579439252	0.2143896168697291	3507.822205064205	10.869959175197017	68.21697022520478	5.188437934467901
96	NaN	1	1	0.18203084963336366	1592.6781309625567	10.488080070565443	30.98882680764847	4.805635056475864
448	NaN	1	1	0.5705143311936913	4915.68357478056	11.847670774976994	95.60584125007912	6.1640463993945
418	0.0949494949494954	0.7071316646316647	0.7714285714285715	0.25366026603850955	3523.7365227604846	11.40908059393402	68.52923903911329	5.725806083452383
69	NaN	1	1	0.669061219793476	3811.9417905702603	11.328872446379533	74.15616682800224	5.645859018213969
374	-0.13968439509059036	0.2908560393854511	0.3076923076923077	0.011315739154397111	3670.757851885182	11.331046830803412	71.38909130710219	5.648005181044952
165	0.026752329515104735	0.4428188213424972	0.4085072231139647	0.033595911848947245	3160.7772025117465	11.113575118251882	61.457319722426725	5.43100472077394
277	-0.055118729359962336	0.6836630718650646	0.704225352112676	0.2870141964739541	4644.978943387314	11.65275604207746	90.29653441263302	5.96949435731427
76	-0.05142380306665337	0.7004577501841524	0.7569444444444444	0.3059609935899056	3016.4539970632463	10.715158105235236	58.69102353973066	5.034251021821119
143	NaN	1	1	0.38876654732253046	1858.463329649125	10.826115979573501	36.14351195887645	5.14309145463226
144	NaN	1	1	0.387679973668564	1908.9419555397749	10.6862959442981	37.11572942671545	5.00369574460096
53	-0.06214409507303797	0.5032160649807709	0.49230769230769234	0.18095854808118955	3984.289101292604	11.192266328273123	77.46167295230414	5.509757202332219
281	0.032473231525364445	0.6489441114441115	0.6602564102564102	0.2624474833721645	4704.455326531312	11.61696120692156	91.43872904226833	5.9341817106678505
146	0.45014454140952803	0.7155764482677676	0.8045685279187818	-0.20145554263026919	26311.464136901333	13.808260388941267	510.7184300284437	8.124071829405779
