healthy	luma	healthy_n	luma_n	jaccard
1	1	482	2	0
1	2	482	118	0.001669449081803005
1	662	482	151	0.006359300476947536
1	3	482	145	0.014563106796116505
1	667	482	109	0.010256410256410256
1	669	482	58	0.00558659217877095
1	671	482	1804	0.026954177897574125
1	4	482	67	0
1	5	482	90	0.0035087719298245615
1	6	482	6	0.002053388090349076
1	7	482	70	0.0036363636363636364
1	672	482	22	0.0019880715705765406
1	8	482	2	0
1	9	482	35	0
1	10	482	26	0
1	11	482	3	0
1	12	482	30	0.0019569471624266144
1	13	482	6	0
1	666	482	162	0.00782472613458529
1	674	482	61	0
1	14	482	43	0
1	15	482	2	0
1	16	482	2	0.002070393374741201
1	673	482	114	0.0016806722689075631
1	676	482	59	0.001851851851851852
1	17	482	8	0
1	18	482	2	0
1	665	482	86	0
1	19	482	6	0
1	664	482	107	0.005119453924914676
1	20	482	2	0
1	21	482	36	0
1	22	482	19	0
1	23	482	107	0.0034071550255536627
1	24	482	34	0.011764705882352941
1	675	482	109	0.00510204081632653
1	25	482	2	0
1	26	482	2	0.002070393374741201
1	27	482	2	0
1	661	482	86	0.001763668430335097
1	28	482	2	0
1	29	482	4	0
1	30	482	2	0
1	31	482	6	0
1	663	482	79	0
1	32	482	4	0
1	33	482	3	0.002066115702479339
1	34	482	2	0
1	35	482	8	0
1	36	482	2	0
1	37	482	5	0
1	38	482	4	0
1	39	482	2	0
1	40	482	3	0
1	41	482	10	0
1	42	482	66	0.0018281535648994515
1	43	482	2	0
1	44	482	9	0
1	45	482	3	0
1	46	482	2	0
1	47	482	7	0
1	48	482	2	0
1	49	482	2	0
1	50	482	15	0
1	51	482	2	0
1	52	482	5	0
1	53	482	2	0
1	54	482	2	0
1	55	482	2	0.002070393374741201
1	56	482	3	0
1	57	482	2	0
1	58	482	3	0.002066115702479339
1	59	482	2	0
1	60	482	2	0.002070393374741201
1	61	482	2	0
1	62	482	7	0
1	63	482	3	0
1	64	482	2	0
1	677	482	42	0
1	65	482	2	0
1	66	482	2	0
1	668	482	63	0.001838235294117647
1	67	482	3	0
1	68	482	2	0
1	69	482	4	0
1	70	482	2	0
1	71	482	26	0
1	72	482	6	0
1	73	482	3	0.002066115702479339
1	74	482	3	0
1	75	482	3	0
1	76	482	2	0
1	77	482	6	0.002053388090349076
1	78	482	2	0
1	79	482	2	0
1	80	482	3	0.002066115702479339
1	81	482	2	0
1	82	482	2	0
1	83	482	91	0
1	84	482	2	0.002070393374741201
1	85	482	2	0
1	86	482	2	0
1	87	482	20	0
1	670	482	56	0
1	88	482	5	0
1	89	482	2	0
1	678	482	23	0.003976143141153081
1	90	482	7	0.0020491803278688526
1	91	482	2	0
1	92	482	2	0
1	93	482	2	0
1	94	482	2	0
1	95	482	7	0
1	96	482	4	0
1	97	482	2	0
1	98	482	2	0
1	99	482	2	0
1	100	482	2	0
1	101	482	2	0
1	102	482	2	0.002070393374741201
1	103	482	2	0.002070393374741201
1	104	482	2	0
1	105	482	2	0
1	106	482	3	0
1	107	482	11	0
1	108	482	2	0
1	109	482	2	0
1	110	482	2	0
1	111	482	11	0.0020325203252032522
1	112	482	3	0
1	113	482	2	0
1	114	482	2	0
1	115	482	11	0.0020325203252032522
1	116	482	2	0
1	117	482	3	0
1	118	482	3	0
1	119	482	2	0
1	120	482	2	0
1	121	482	14	0
1	122	482	3	0
1	123	482	4	0
1	124	482	3	0
1	125	482	3	0
1	126	482	8	0
1	127	482	2	0
1	128	482	2	0
1	129	482	3	0
1	130	482	2	0
1	131	482	3	0
1	132	482	2	0
1	133	482	5	0
1	134	482	2	0
1	135	482	2	0
1	136	482	20	0
1	137	482	2	0
1	138	482	23	0.001984126984126984
1	139	482	10	0
1	140	482	5	0
1	141	482	2	0
1	142	482	7	0
1	143	482	3	0
1	144	482	2	0
1	145	482	2	0
1	146	482	2	0
1	147	482	2	0
1	148	482	2	0
1	149	482	2	0
1	150	482	2	0
1	151	482	4	0
1	152	482	2	0.002070393374741201
1	153	482	2	0
1	154	482	4	0
1	155	482	3	0
1	156	482	2	0
1	157	482	3	0
1	158	482	8	0
1	159	482	2	0
1	160	482	20	0
1	161	482	5	0
1	162	482	2	0
1	163	482	2	0
1	164	482	3	0
1	165	482	2	0
1	166	482	3	0
1	167	482	4	0
1	168	482	2	0
1	169	482	2	0
1	170	482	5	0
1	171	482	3	0
1	172	482	2	0
1	173	482	3	0
1	174	482	2	0
1	175	482	2	0
1	176	482	2	0
1	177	482	2	0
1	178	482	2	0
1	179	482	2	0
1	180	482	3	0.002066115702479339
1	181	482	3	0
1	182	482	2	0
1	183	482	2	0
1	184	482	11	0
1	185	482	2	0
1	186	482	2	0
1	187	482	2	0
1	188	482	2	0
1	189	482	2	0
1	190	482	2	0
1	191	482	2	0
1	192	482	2	0
1	193	482	3	0
1	194	482	2	0
1	195	482	5	0
1	196	482	2	0
1	197	482	2	0
1	198	482	5	0
1	199	482	4	0
1	200	482	7	0
1	201	482	2	0
1	202	482	4	0
1	203	482	12	0.002028397565922921
1	204	482	3	0
1	205	482	2	0
1	206	482	2	0
1	207	482	2	0
1	208	482	2	0
1	209	482	2	0
1	210	482	2	0
1	211	482	2	0
1	212	482	2	0
1	213	482	3	0
1	214	482	2	0
1	215	482	3	0
1	216	482	2	0
1	217	482	2	0
1	218	482	2	0
1	219	482	6	0
1	220	482	2	0
1	221	482	2	0
1	222	482	8	0
1	223	482	2	0
1	224	482	2	0
1	225	482	2	0
1	226	482	2	0
1	227	482	2	0
