source	target	MI	distance	row_num	interaction_type	isRegulatory
ENSG00000125686	ENSG00000167258	0.407988	57226	41	Intra-Cytoband	0
ENSG00000131748	ENSG00000161395	0.390754	34057	56	Intra-Cytoband	0
ENSG00000131748	ENSG00000141741	0.338163	91431	118	Intra-Cytoband	0
ENSG00000131748	ENSG00000141736	0.317221	50849	192	Intra-Cytoband	0
ENSG00000141741	ENSG00000161395	0.307466	57374	233	Intra-Cytoband	0
ENSG00000008838	ENSG00000108344	0.295714	38300	288	Intra-Cytoband	0
ENSG00000136942	ENSG00000197958	0.284548	2589794	371	Intra-Cytoband	0
ENSG00000273559	ENSG00000276293	0.253205	34745	733	Intra-Cytoband	0
ENSG00000131748	ENSG00000167258	0.241038	175554	962	Intra-Cytoband	1
ENSG00000141736	ENSG00000161395	0.240501	16792	978	Intra-Cytoband	0
ENSG00000171863	ENSG00000182899	0.239054	NA	1009	Trans	0
ENSG00000144713	ENSG00000174748	0.233709	11082060	1142	Inter-Cytoband	0
ENSG00000273559	ENSG00000277791	0.232119	47698	1183	Intra-Cytoband	0
ENSG00000276293	ENSG00000277791	0.229752	12953	1244	Intra-Cytoband	0
ENSG00000141736	ENSG00000141738	0.228536	50013	1272	Intra-Cytoband	0
ENSG00000073605	ENSG00000172057	0.228148	16446	1286	Intra-Cytoband	0
ENSG00000083845	ENSG00000108107	0.223192	3001055	1436	Inter-Cytoband	0
ENSG00000144713	ENSG00000162244	0.222194	39159037	1473	Inter-Cytoband	0
ENSG00000105640	ENSG00000171858	0.218382	NA	1593	Trans	0
ENSG00000108349	ENSG00000188895	0.218228	18020	1600	Intra-Cytoband	0
ENSG00000131748	ENSG00000141738	0.216838	100862	1648	Intra-Cytoband	0
ENSG00000109475	ENSG00000145425	0.214755	42479007	1721	Inter-Cytoband	0
ENSG00000141741	ENSG00000167258	0.213552	266985	1768	Intra-Cytoband	0
ENSG00000108349	ENSG00000171475	0.21248	78986	1817	Inter-Cytoband	0
ENSG00000136942	ENSG00000171863	0.211481	NA	1855	Trans	0
ENSG00000125686	ENSG00000131748	0.210673	232780	1892	Intra-Cytoband	0
ENSG00000136942	ENSG00000182899	0.207329	NA	2029	Trans	0
