community_id	name	size	chr_assortativity	exp_assprtativity	mean_diff_exp	enriched_terms
24	QRICH1	117	0.985781990521327	-0.09004739336492891	0.14246720956961834	0
5	TSR1	165	0.9989333333333333	-0.21066666666666667	-0.08624935767828286	0
9	ZNF394	145	0.9947780678851175	0.1122715404699739	0.20284508126133244	0
15	COG3	125	0.9943820224719101	-0.21348314606741572	0.05582146747896383	0
10	IST1	167	0.717687074829932	0.3163265306122449	-0.17567272110421434	0
3	CDC40	106	0.9927536231884058	-0.18840579710144928	0.02622825521522016	0
11	NAA30	179	0.9918864097363083	-0.04259634888438134	0.16161960249182436	6
25	UBE2J2	42	0.8356164383561644	-0.3424657534246575	-0.036055664452595386	0
13	UTP15	109	0.9870967741935484	0.3161290322580645	0.2627634051342949	6
17	TPGS1	139	0.7015706806282722	0.05759162303664921	0.21755250775837953	0
20	HJURP	83	-0.7172932330827068	0.9969924812030075	1.723084819308027	183
459	TYROBP	6	-0.75	0.25	0.3134046464597625	88
8	DHX8	67	0.984	0.328	0.28445079624059033	0
2	NDUFS8	161	0.9969040247678018	0.14241486068111456	0.14247893836007222	0
42	ASNA1	37	0.96	0.16	0.4950011688910774	0
43	RPL35	70	-0.5729537366548043	0.7437722419928826	-0.3171716376225509	36
48	SMU1	44	0.9772727272727273	0.09090909090909091	0.1340996025792675	0
230	IGLL5	7	-0.5384615384615384	0.23076923076923078	-0.6269905391863364	1
32	CPA3	15	-0.8695652173913043	-0.34782608695652173	-0.28280352631441896	8
84	KDR	3	-1	1	-0.521449051786627	0
248	NFKB2	3	-1	-1	0.2869656844498197	0
38	CD3E	26	-0.8285714285714286	0.3142857142857143	-0.3291258487664672	69
447	PER3	6	-0.8	0.2	-0.5316545984844373	10
39	COL5A2	20	-0.7037037037037037	0.7777777777777778	0.8120191785584315	61
391	MX1	23	-0.6712328767123288	0.3150684931506849	0.4072996115680116	53
71	ARF3	7	0.6666666666666666	0.6666666666666666	0.40358718046015835	0
155	LAMA4	2	-1	1	-0.6695708452286651	0
176	PDGFRB	2	-1	-1	-0.03433065176792285	0
128	TNFAIP3	2	-1	1	-0.610309146077514	0
46	EGR1	20	-0.64	0.88	-1.3457734488076327	96
65	ESAM	23	-0.8709677419354839	0.6774193548387096	-0.9576557239614807	15
74	PPIG	10	0.8181818181818182	-0.09090909090909091	0.06702758027011985	0
53	KLF9	5	-1	0	-0.9363745010839288	0
125	SAFB	3	0	1	0.21563742013519724	0
96	PLAU	2	-1	-1	-0.877136083185146	0
85	PLEK	4	-1	-0.3333333333333333	-0.017956017045675746	0
384	ID1	3	0	1	-1.031503420712708	0
124	ACTA2	11	-0.8666666666666667	1	-2.2728939159193553	3
443	CLEC10A	5	-0.5	1	-1.363269434556978	0
195	GIMAP8	7	0.8571428571428571	1	-1.6099611770734485	0
196	PDGFRA	2	-1	1	-1.3420883587961496	0
214	NA	6	-1	0.6	-0.2649711555913097	0
142	C1QA	8	-0.2727272727272727	1	-0.5827504323427118	23
351	SLC40A1	2	-1	-1	0.260077045839612	0
173	CD27	2	-1	-1	-0.267501707108298	0
59	ITGB2	4	-1	0.3333333333333333	0.06490880700101717	0
399	IGSF6	2	-1	-1	-0.056837136579003494	0
465	EVI2B	3	0	1	0.2317323573027348	0
174	DPP4	6	-0.6	0.2	-1.0807916250719105	5
303	MMP14	2	-1	1	2.8466311366071686	0
373	FMNL3	2	-1	-1	0.02797126932197551	0
283	PAQR4	3	0	1	0.963260820087535	0
269	FSTL1	2	-1	1	-0.8305361789680644	0
184	TKT	2	-1	-1	-0.23585864929259903	0
201	FABP4	6	-0.6	1	-4.576141684111511	0
132	AVPR1A	2	-1	1	-1.56534332696215	0
88	CX3CR1	14	-0.4117647058823529	-0.17647058823529413	-0.3051906764378028	12
252	ELN	3	-1	-1	-1.33823753592357	0
387	MYDGF	3	0	0	0.311016602914909	0
492	SLC3A2	2	-1	1	0.9074573876489664	0
572	SCARA5	2	-1	1	-5.10523697927718	0
164	S1PR1	5	-1	1	-2.853770381273314	0
146	LRRC15	4	-1	0.3333333333333333	1.5553315569631323	0
471	ACKR1	3	0	1	-2.828599421308507	0
161	PODN	3	0	1	-1.3199148917979693	0
620	C5orf38	4	0	0	0.263061678456495	0
56	DPM3	2	-1	-1	-0.09124545375294851	0
73	ITGA4	3	0	0	0.139453530901314	0
452	EGR3	2	-1	1	-1.23537904930154	0
218	FOXS1	2	-1	1	0.852593769097581	0
198	TDRD6	2	-1	-1	-0.6863548774563065	0
235	AEN	2	-1	-1	-0.2331814480663135	0
430	DUSP8	4	-0.3333333333333333	-0.3333333333333333	-0.21383381856375852	0
692	HIST1H2BK	7	0.5294117647058824	1	1.381331473065294	51
208	NRBP2	2	-1	1	-0.6139293253434625	0
52	KRT5	6	-0.7777777777777778	1	-2.9412858051999766	16
181	CFAP73	2	-1	-1	0.131563232726016	0
539	HLA-DMB	12	0.46153846153846156	-0.38461538461538464	0.04958689929906604	46
337	S100A4	2	-1	1	-1.0185928154080266	0
390	ITGBL1	2	-1	1	0.7468093136088876	0
411	FICD	2	-1	-1	0.028093131109805998	0
464	SREBF2	2	-1	-1	-0.2006706686317975	0
130	HLA-F	4	0.3333333333333333	-1	0.094240629830821	0
140	RAB12	2	-1	1	-0.7418836171408105	0
245	MEX3A	2	-1	1	0.6322832549348669	0
203	ANXA8	3	0	1	-2.0038404208582965	0
224	FCGBP	3	-1	0	-0.310868207843825	0
